0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:28:50 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:28:50 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:29:02 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:29:02 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:29:33 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:29:33 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:29:55 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:29:56 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:29:57 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:29:57 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:29:58 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:29:58 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:29:58 +0530] "GET /GroceryOrdering/images/logo.jpg HTTP/1.1" 200 2759399
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:29:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:30:53 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:30:53 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1687
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:31:18 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:31:18 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:31:30 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:31:30 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:31:40 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:31:40 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:33:50 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:33:51 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:33:57 +0530] "GET /GroceryOrdering/login.jsp HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:34:08 +0530] "POST /GroceryOrdering/login HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:34:14 +0530] "POST /GroceryOrdering/login HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:34:16 +0530] "GET /GroceryOrdering/login.jsp HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:34:23 +0530] "POST /GroceryOrdering/login HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:34:29 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:34:29 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:34:32 +0530] "GET /GroceryOrdering/upUpdate.jsp HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:34:38 +0530] "GET /GroceryOrdering/insertPay.jsp HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:34:41 +0530] "GET /GroceryOrdering/payMethodDetails.jsp HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:34:45 +0530] "POST /GroceryOrdering/delete HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:34:48 +0530] "GET /GroceryOrdering/payMethodDetails.jsp HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:38:51 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:38:51 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:39:10 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:39:12 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:39:13 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:39:25 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:39:32 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:39:51 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:39:51 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:40:07 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:40:07 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:40:18 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:40:18 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:40:30 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1462
